instrumentid,Name,Latitude,Longitude,y,m,d,h,grafNO2
1,Hjortnes,59.91132000,10.70407000,2017,1,3,22,80.902150
1,Hjortnes,59.91132000,10.70407000,2017,1,3,23,79.355654
1,Hjortnes,59.91132000,10.70407000,2017,1,4,0,63.172019
1,Hjortnes,59.91132000,10.70407000,2017,1,4,1,26.280759
1,Hjortnes,59.91132000,10.70407000,2017,1,4,2,21.233146
1,Hjortnes,59.91132000,10.70407000,2017,1,4,3,15.535479
1,Hjortnes,59.91132000,10.70407000,2017,1,4,4,32.188535
1,Hjortnes,59.91132000,10.70407000,2017,1,4,5,77.305217
1,Hjortnes,59.91132000,10.70407000,2017,1,4,6,89.484222
1,Hjortnes,59.91132000,10.70407000,2017,1,4,7,82.629475
1,Hjortnes,59.91132000,10.70407000,2017,1,4,8,48.494031
1,Hjortnes,59.91132000,10.70407000,2017,1,4,9,54.202147
1,Hjortnes,59.91132000,10.70407000,2017,1,4,10,53.678913
1,Hjortnes,59.91132000,10.70407000,2017,1,4,11,51.607693
1,Hjortnes,59.91132000,10.70407000,2017,1,4,12,52.184641
1,Hjortnes,59.91132000,10.70407000,2017,1,4,13,45.341793
1,Hjortnes,59.91132000,10.70407000,2017,1,4,14,46.461996
1,Hjortnes,59.91132000,10.70407000,2017,1,4,15,51.968150
1,Hjortnes,59.91132000,10.70407000,2017,1,4,16,40.454347
1,Hjortnes,59.91132000,10.70407000,2017,1,4,17,31.643530
1,Hjortnes,59.91132000,10.70407000,2017,1,4,18,24.487876
1,Hjortnes,59.91132000,10.70407000,2017,1,4,19,17.662832
1,Hjortnes,59.91132000,10.70407000,2017,1,4,20,18.480433
1,Hjortnes,59.91132000,10.70407000,2017,1,4,21,13.451821
1,Hjortnes,59.91132000,10.70407000,2017,1,4,22,12.062808
1,Hjortnes,59.91132000,10.70407000,2017,1,4,23,7.439975
1,Hjortnes,59.91132000,10.70407000,2017,1,5,0,7.947214
1,Hjortnes,59.91132000,10.70407000,2017,1,5,1,1.726549
1,Hjortnes,59.91132000,10.70407000,2017,1,5,2,3.856531
